Raw_filename1;Raw_filename2;Submission_filename1;Submission_filename2;Folder;SampleName;Sample;Genotype;Construct;Suffix;Name;Genotype_construct
NGS354_RecG1-2_BM1_NA_D1_S3.R1.fastq.gz;NGS354_RecG1-2_BM1_NA_D1_S3.R2.fastq.gz;recG1-2_Col-0_S3.R1.fastq.gz;recG1-2_Col-0_S3.R2.fastq.gz;NGS354;recG1-2_Col-0_S3;RecG1-2_S3;recG1-2;no-TAL;S3;recG1-2_no-TAL_S3;recG1-2_no-TAL
recG1-UP-A11_S36.R1.fastq.gz;recG1-UP-A11_S36.R2.fastq.gz;recG1-2_Col-0_S36.R1.fastq.gz;recG1-2_Col-0_S36.R2.fastq.gz;NGS313;recG1-2_Col-0_S36;recG1-UP-A11_S36;recG1-2;no-TAL;S36;recG1-2_no-TAL_S36;recG1-2_no-TAL
NGS257-C2_S38.R1.fastq.gz;NGS257-C2_S38.R2.fastq.gz;recG1-2_TAL_6-2_S39-C2.R1.fastq.gz;recG1-2_TAL_6-2_S39-C2.R2.fastq.gz;NGS257;recG1-2_TAL_6-2_S39-C2;NGS257-C2_S38;recG1-2;TAL-1;S39-C2;recG1-2_TAL-1_S39-C2;recG1-2_TAL-1
NGS257-C4_S40.R1.fastq.gz;NGS257-C4_S40.R2.fastq.gz;recG1-2_TAL_6-2_S41.R1.fastq.gz;recG1-2_TAL_6-2_S41.R2.fastq.gz;NGS257;recG1-2_TAL_6-2_S41;NGS257-C4_S40;recG1-2;TAL-1;S41;recG1-2_TAL-1_S41;recG1-2_TAL-1
NGS257-C5_S41.R1.fastq.gz;NGS257-C5_S41.R2.fastq.gz;recG1-2_TAL_6-2_S42.R1.fastq.gz;recG1-2_TAL_6-2_S42.R2.fastq.gz;NGS257;recG1-2_TAL_6-2_S42;NGS257-C5_S41;recG1-2;TAL-1;S42;recG1-2_TAL-1_S42;recG1-2_TAL-1
NGS257-Recg1-2-Up_S33.R1.fastq.gz;NGS257-Recg1-2-Up_S33.R2.fastq.gz;recG1-2_TAL_6-2_S34.R1.fastq.gz;recG1-2_TAL_6-2_S34.R2.fastq.gz;NGS257;recG1-2_TAL_6-2_S34;NGS257-Recg1-2-Up_S33;recG1-2;TAL-1;S34;recG1-2_TAL-1_S34;recG1-2_TAL-1
recG1-6-2-C9_S39.R1.fastq.gz;recG1-6-2-C9_S39.R2.fastq.gz;recG1-2_TAL_6-2_S39-C9.R1.fastq.gz;recG1-2_TAL_6-2_S39-C9.R2.fastq.gz;NGS313;recG1-2_TAL_6-2_S39-C9;recG1-6-2-C9_S39;recG1-2;TAL-1;S39-C9;recG1-2_TAL-1_S39-C9;recG1-2_TAL-1
NGS257-RecG1-2-6-2_S32.R1.fastq.gz;NGS257-RecG1-2-6-2_S32.R2.fastq.gz;recG1-2_TAL_UP_S33.R1.fastq.gz;recG1-2_TAL_UP_S33.R2.fastq.gz;NGS257;recG1-2_TAL_UP_S33;NGS257-RecG1-2-6-2_S32;recG1-2;TAL-2;S33;recG1-2_TAL-2_S33;recG1-2_TAL-2
recG1-UP-A4_S38.R1.fastq.gz;recG1-UP-A4_S38.R2.fastq.gz;recG1-2_TAL_UP_S38.R1.fastq.gz;recG1-2_TAL_UP_S38.R2.fastq.gz;NGS313;recG1-2_TAL_UP_S38;recG1-UP-A4_S38;recG1-2;TAL-2;S38;recG1-2_TAL-2_S38;recG1-2_TAL-2
recG1-UP-A9_S37.R1.fastq.gz;recG1-UP-A9_S37.R2.fastq.gz;recG1-2_TAL_UP_S37.R1.fastq.gz;recG1-2_TAL_UP_S37.R2.fastq.gz;NGS313;recG1-2_TAL_UP_S37;recG1-UP-A9_S37;recG1-2;TAL-2;S37;recG1-2_TAL-2_S37;recG1-2_TAL-2
recG1-6-2-C1_S40.R1.fastq.gz;recG1-6-2-C1_S40.R2.fastq.gz;recG1-2XCol-0_mix_S40.R1.fastq.gz;recG1-2XCol-0_mix_S40.R2.fastq.gz;NGS313;recG1-2XCol-0_mix_S40;recG1-6-2-C1_S40;recG1-2XCol-0;mix;S40;recG1-2XCol-0_mix_S40;recG1-2XCol-0_mix
NGS354_Why2-1_BM1_NA_D1_S5.R1.fastq.gz;NGS354_Why2-1_BM1_NA_D1_S5.R2.fastq.gz;why2-1_Col-0_S5.R1.fastq.gz;why2-1_Col-0_S5.R2.fastq.gz;NGS354;why2-1_Col-0_S5;Why2-1_S5;why2-1;no-TAL;S5;why2-1_no-TAL_S5;why2-1_no-TAL
NGS257-1E10-F1_S3.R1.fastq.gz;NGS257-1E10-F1_S3.R2.fastq.gz;why2-1_TAL_6-2_S3.R1.fastq.gz;why2-1_TAL_6-2_S3.R2.fastq.gz;NGS257;why2-1_TAL_6-2_S3;NGS257-1E10-F1_S3;why2-1;TAL-1;S3;why2-1_TAL-1_S3;why2-1_TAL-1
NGS257-1E12_S4.R1.fastq.gz;NGS257-1E12_S4.R2.fastq.gz;why2-1_TAL_6-2_S4.R1.fastq.gz;why2-1_TAL_6-2_S4.R2.fastq.gz;NGS257;why2-1_TAL_6-2_S4;NGS257-1E12_S4;why2-1;TAL-1;S4;why2-1_TAL-1_S4;why2-1_TAL-1
NGS257-1E5_S1.R1.fastq.gz;NGS257-1E5_S1.R2.fastq.gz;why2-1_TAL_6-2_S1.R1.fastq.gz;why2-1_TAL_6-2_S1.R2.fastq.gz;NGS257;why2-1_TAL_6-2_S1;NGS257-1E5_S1;why2-1;TAL-1;S1;why2-1_TAL-1_S1;why2-1_TAL-1
NGS257-1E9_S2.R1.fastq.gz;NGS257-1E9_S2.R2.fastq.gz;why2-1_TAL_6-2_S2.R1.fastq.gz;why2-1_TAL_6-2_S2.R2.fastq.gz;NGS257;why2-1_TAL_6-2_S2;NGS257-1E9_S2;why2-1;TAL-1;S2;why2-1_TAL-1_S2;why2-1_TAL-1
NGS257-1F4_S5.R1.fastq.gz;NGS257-1F4_S5.R2.fastq.gz;why2-1_TAL_6-2_S5.R1.fastq.gz;why2-1_TAL_6-2_S5.R2.fastq.gz;NGS257;why2-1_TAL_6-2_S5;NGS257-1F4_S5;why2-1;TAL-1;S5;why2-1_TAL-1_S5;why2-1_TAL-1
why2-6-2-6C5_S12.R1.fastq.gz;why2-6-2-6C5_S12.R2.fastq.gz;why2-1_TAL_6-2_S12.R1.fastq.gz;why2-1_TAL_6-2_S12.R2.fastq.gz;NGS313;why2-1_TAL_6-2_S12;why2-6-2-6C5_S12;why2-1;TAL-1;S12;why2-1_TAL-1_S12;why2-1_TAL-1
why2-6-2-6G3_S11.R1.fastq.gz;why2-6-2-6G3_S11.R2.fastq.gz;why2-1_TAL_6-2_S11.R1.fastq.gz;why2-1_TAL_6-2_S11.R2.fastq.gz;NGS313;why2-1_TAL_6-2_S11;why2-6-2-6G3_S11;why2-1;TAL-1;S11;why2-1_TAL-1_S11;why2-1_TAL-1
why2-6-2-6G6_S10.R1.fastq.gz;why2-6-2-6G6_S10.R2.fastq.gz;why2-1_TAL_6-2_S10.R1.fastq.gz;why2-1_TAL_6-2_S10.R2.fastq.gz;NGS313;why2-1_TAL_6-2_S10;why2-6-2-6G6_S10;why2-1;TAL-1;S10;why2-1_TAL-1_S10;why2-1_TAL-1
NGS246-IA12_S8.R1.fastq.gz;NGS246-IA12_S8.R2.fastq.gz;why2-1_TAL_UP_S4.R1.fastq.gz;why2-1_TAL_UP_S4.R2.fastq.gz;NGS246;why2-1_TAL_UP_S4;NGS246-IA1_S4;why2-1;TAL-2;S4;why2-1_TAL-2_S4;why2-1_TAL-2
NGS246-IA1_S4.R1.fastq.gz;NGS246-IA1_S4.R2.fastq.gz;why2-1_TAL_UP_S8.R1.fastq.gz;why2-1_TAL_UP_S8.R2.fastq.gz;NGS246;why2-1_TAL_UP_S8;NGS246-IA12_S8;why2-1;TAL-2;S8;why2-1_TAL-2_S8;why2-1_TAL-2
NGS246-IA3_S5.R1.fastq.gz;NGS246-IA3_S5.R2.fastq.gz;why2-1_TAL_UP_S5.R1.fastq.gz;why2-1_TAL_UP_S5.R2.fastq.gz;NGS246;why2-1_TAL_UP_S5;NGS246-IA3_S5;why2-1;TAL-2;S5;why2-1_TAL-2_S5;why2-1_TAL-2
NGS246-IA6_S6.R1.fastq.gz;NGS246-IA6_S6.R2.fastq.gz;why2-1_TAL_UP_S6.R1.fastq.gz;why2-1_TAL_UP_S6.R2.fastq.gz;NGS246;why2-1_TAL_UP_S6;NGS246-IA6_S6;why2-1;TAL-2;S6;why2-1_TAL-2_S6;why2-1_TAL-2
NGS246-IB9_S7.R1.fastq.gz;NGS246-IB9_S7.R2.fastq.gz;why2-1_TAL_UP_S7.R1.fastq.gz;why2-1_TAL_UP_S7.R2.fastq.gz;NGS246;why2-1_TAL_UP_S7;NGS246-IB9_S7;why2-1;TAL-2;S7;why2-1_TAL-2_S7;why2-1_TAL-2
