Raw_filename1;Raw_filename2;Submission_filename1;Submission_filename2;Folder;SampleName;Sample;Genotype;Construct;Suffix;Name;Genotype_construct
pol1A-2-6-2-E2_S49.R1.fastq.gz;pol1A-2-6-2-E2_S49.R2.fastq.gz;pol1A_TAL_6-2_S49.R1.fastq.gz;pol1A_TAL_6-2_S49.R2.fastq.gz;NGS313;pol1A_TAL_6-2_S49;pol1A-2-6-2-E2_S49;pol1A;TAL-1;S49;pol1A_TAL-1_S49;pol1A_TAL-1
pol1A-UP-2G9_S48.R1.fastq.gz;pol1A-UP-2G9_S48.R2.fastq.gz;pol1A_TAL_UP_S48.R1.fastq.gz;pol1A_TAL_UP_S48.R2.fastq.gz;NGS313;pol1A_TAL_UP_S48;pol1A-UP-2G9_S48;pol1A;TAL-2;S48;pol1A_TAL-2_S48;pol1A_TAL-2
pol1A-UP-2H3_S47.R1.fastq.gz;pol1A-UP-2H3_S47.R2.fastq.gz;pol1A_TAL_UP_S47.R1.fastq.gz;pol1A_TAL_UP_S47.R2.fastq.gz;NGS313;pol1A_TAL_UP_S47;pol1A-UP-2H3_S47;pol1A;TAL-2;S47;pol1A_TAL-2_S47;pol1A_TAL-2
pol1A-UP-2H7_S46.R1.fastq.gz;pol1A-UP-2H7_S46.R2.fastq.gz;pol1A_TAL_UP_S46.R1.fastq.gz;pol1A_TAL_UP_S46.R2.fastq.gz;NGS313;pol1A_TAL_UP_S46;pol1A-UP-2H7_S46;pol1A;TAL-2;S46;pol1A_TAL-2_S46;pol1A_TAL-2
NGS354_Pol1B-2_BM1_NA_D1_S2.R1.fastq.gz;NGS354_Pol1B-2_BM1_NA_D1_S2.R2.fastq.gz;pol1B_Col-0_S2.R1.fastq.gz;pol1B_Col-0_S2.R2.fastq.gz;NGS354;pol1B_Col-0_S2;Pol1B-2_S2;pol1B;no-TAL;S2;pol1B_no-TAL_S2;pol1B_no-TAL
Sloan_polIb_SRR11025085_rep3.R1.fastq.gz;Sloan_polIb_SRR11025085_rep3.R2.fastq.gz;pol1B_Col-0_Sloan.R1.fastq.gz;pol1B_Col-0_Sloan.R2.fastq.gz;Sloan_MSH1_PNAS2020;pol1B_Col-0_Sloan;Sloan_polIb_SRR11025085_rep3;pol1B;no-TAL;Sloan;pol1B_no-TAL_Sloan;pol1B_no-TAL
Sloan_polIb_SRR11025096_rep2.R1.fastq.gz;Sloan_polIb_SRR11025096_rep2.R2.fastq.gz;pol1B_Col-0_Sloan.R1.fastq.gz;pol1B_Col-0_Sloan.R2.fastq.gz;Sloan_MSH1_PNAS2020;pol1B_Col-0_Sloan;Sloan_polIb_SRR11025096_rep2;pol1B;no-TAL;Sloan;pol1B_no-TAL_Sloan;pol1B_no-TAL
Sloan_polIb_SRR11025153_rep1.R1.fastq.gz;Sloan_polIb_SRR11025153_rep1.R2.fastq.gz;pol1B_Col-0_Sloan.R1.fastq.gz;pol1B_Col-0_Sloan.R2.fastq.gz;Sloan_MSH1_PNAS2020;pol1B_Col-0_Sloan;Sloan_polIb_SRR11025153_rep1;pol1B;no-TAL;Sloan;pol1B_no-TAL_Sloan;pol1B_no-TAL
NGS257-1H10_S15.R1.fastq.gz;NGS257-1H10_S15.R2.fastq.gz;pol1B_TAL_6-2_S15.R1.fastq.gz;pol1B_TAL_6-2_S15.R2.fastq.gz;NGS257;pol1B_TAL_6-2_S15;NGS257-1H10_S15;pol1B;TAL-1;S15;pol1B_TAL-1_S15;pol1B_TAL-1
NGS257-1H11_S16.R1.fastq.gz;NGS257-1H11_S16.R2.fastq.gz;pol1B_TAL_6-2_S16.R1.fastq.gz;pol1B_TAL_6-2_S16.R2.fastq.gz;NGS257;pol1B_TAL_6-2_S16;NGS257-1H11_S16;pol1B;TAL-1;S16;pol1B_TAL-1_S16;pol1B_TAL-1
